0,Renal Cell Carcinoma,Lung Cancer,Breast Cancer,Head and Neck (Squamous Cell) Carcinoma,Lung Cancer (Lung Adenocarcinoma),Alzheimer Disease,"Cardiovascular diseases (CDC,CF,CCS) cardicregeneration",Head and Neck Cancer,Gastric Cancer,Dysplastic Liver nodules and hepatocellular carcinoma,Rheumatoid Arthritis,Testicular germ Cell Carcinoma,Endometrial Carcinogenesis,Male Infertility,Leukemia,Heart Stroke,Ovarian Cancer,Pancreatic carcinoma,Colon Cancer,Non small Cell lung carcinoma (NSCLC),Prostate Cancer
piR-hsa-10013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-1002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-1004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10044,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-1005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10072,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10087,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10095,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10106,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10136,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-1014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
piR-hsa-10183,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
