disease,doid
Renal Cell Carcinoma,DOID:4450
Lung Cancer,DOID:1324
Breast Cancer,DOID:1612
Head and Neck (Squamous Cell) Carcinoma,DOID:5520
Lung Cancer (Lung Adenocarcinoma),DOID:3910
Alzheimer Disease,DOID:10652
"Cardiovascular diseases (CDC,CF,CCS) cardicregeneration",DOID:1287
Head and Neck Cancer,DOID:11934
Gastric Cancer,DOID:10534
Dysplastic Liver nodules and hepatocellular carcinoma,DOID:684
Rheumatoid Arthritis,DOID:7148
Testicular germ Cell Carcinoma,DOID:2519
Endometrial Carcinogenesis,DOID:2871
Male Infertility,DOID:12336
Leukemia,DOID:1240
Heart Stroke,DOID:5844
Ovarian Cancer,DOID:2394
Pancreatic carcinoma,DOID:4905
Colon Cancer,DOID:219
Non small Cell lung carcinoma (NSCLC),DOID:3908
Prostate Cancer,DOID:10283
