record_id,piRNA_name,disease_name,run,report_file,section_completion_rate,input_tokens,output_tokens,total_tokens,latency_seconds,cost_usd,section_present__Biological plausibility,section_present__Potential mechanisms,section_present__Literature or database support,section_present__Credibility assessment,section_present__Experimental validation suggestions,section_present__Summary statement
P01,piR-hsa-23259,Renal Cell Carcinoma,1,reports/P01_piR-hsa-23259_Renal_Cell_Carcinoma_run1.md,1.0,525,1474,1999,33.339828968048096,0.046845,1,1,1,1,1,1
P01,piR-hsa-23259,Renal Cell Carcinoma,2,reports/P01_piR-hsa-23259_Renal_Cell_Carcinoma_run2.md,1.0,525,1749,2274,38.700244665145874,0.055095,1,1,1,1,1,1
P01,piR-hsa-23259,Renal Cell Carcinoma,3,reports/P01_piR-hsa-23259_Renal_Cell_Carcinoma_run3.md,1.0,525,1572,2097,33.668338775634766,0.049785,1,1,1,1,1,1
P02,DQ593536,Renal Cell Carcinoma,1,reports/P02_DQ593536_Renal_Cell_Carcinoma_run1.md,1.0,534,1625,2159,37.42433714866638,0.05142,1,1,1,1,1,1
P02,DQ593536,Renal Cell Carcinoma,2,reports/P02_DQ593536_Renal_Cell_Carcinoma_run2.md,1.0,534,1656,2190,39.337525367736816,0.05235,1,1,1,1,1,1
P02,DQ593536,Renal Cell Carcinoma,3,reports/P02_DQ593536_Renal_Cell_Carcinoma_run3.md,1.0,534,1691,2225,37.84961986541748,0.0534,1,1,1,1,1,1
P03,DQ577879,Renal Cell Carcinoma,1,reports/P03_DQ577879_Renal_Cell_Carcinoma_run1.md,1.0,534,1935,2469,43.7292160987854,0.06072,1,1,1,1,1,1
P03,DQ577879,Renal Cell Carcinoma,2,reports/P03_DQ577879_Renal_Cell_Carcinoma_run2.md,1.0,534,1806,2340,39.09785199165344,0.05685,1,1,1,1,1,1
P03,DQ577879,Renal Cell Carcinoma,3,reports/P03_DQ577879_Renal_Cell_Carcinoma_run3.md,1.0,534,1842,2376,41.34444308280945,0.05793,1,1,1,1,1,1
P04,DQ574602,Renal Cell Carcinoma,1,reports/P04_DQ574602_Renal_Cell_Carcinoma_run1.md,1.0,534,1923,2457,46.0123929977417,0.06036,1,1,1,1,1,1
P04,DQ574602,Renal Cell Carcinoma,2,reports/P04_DQ574602_Renal_Cell_Carcinoma_run2.md,1.0,534,1656,2190,35.86657786369324,0.05235,1,1,1,1,1,1
P04,DQ574602,Renal Cell Carcinoma,3,reports/P04_DQ574602_Renal_Cell_Carcinoma_run3.md,1.0,534,1490,2024,35.4432098865509,0.04737,1,1,1,1,1,1
P05,DQ601354,Renal Cell Carcinoma,1,reports/P05_DQ601354_Renal_Cell_Carcinoma_run1.md,1.0,534,1850,2384,39.82669138908386,0.05817,1,1,1,1,1,1
P05,DQ601354,Renal Cell Carcinoma,2,reports/P05_DQ601354_Renal_Cell_Carcinoma_run2.md,1.0,534,1844,2378,42.51071333885193,0.05799,1,1,1,1,1,1
P05,DQ601354,Renal Cell Carcinoma,3,reports/P05_DQ601354_Renal_Cell_Carcinoma_run3.md,1.0,534,1652,2186,36.40442132949829,0.05223,1,1,1,1,1,1
P06,DQ598170,Parkinson Disease,1,reports/P06_DQ598170_Parkinson_Disease_run1.md,1.0,530,1726,2256,39.40599250793457,0.05443,1,1,1,1,1,1
P06,DQ598170,Parkinson Disease,2,reports/P06_DQ598170_Parkinson_Disease_run2.md,1.0,530,1855,2385,41.23257350921631,0.0583,1,1,1,1,1,1
P06,DQ598170,Parkinson Disease,3,reports/P06_DQ598170_Parkinson_Disease_run3.md,1.0,530,2287,2817,53.796600103378296,0.07126,1,1,1,1,1,1
P07,DQ570738,Parkinson Disease,1,reports/P07_DQ570738_Parkinson_Disease_run1.md,1.0,530,2029,2559,45.253390312194824,0.06352,1,1,1,1,1,1
P07,DQ570738,Parkinson Disease,2,reports/P07_DQ570738_Parkinson_Disease_run2.md,1.0,530,1864,2394,40.212013959884644,0.05857,1,1,1,1,1,1
P07,DQ570738,Parkinson Disease,3,reports/P07_DQ570738_Parkinson_Disease_run3.md,1.0,530,1833,2363,40.65971064567566,0.05764,1,1,1,1,1,1
P08,DQ597061,Parkinson Disease,1,reports/P08_DQ597061_Parkinson_Disease_run1.md,1.0,530,1988,2518,46.90766739845276,0.06229,1,1,1,1,1,1
P08,DQ597061,Parkinson Disease,2,reports/P08_DQ597061_Parkinson_Disease_run2.md,1.0,530,1943,2473,44.581045627593994,0.06094,1,1,1,1,1,1
P08,DQ597061,Parkinson Disease,3,reports/P08_DQ597061_Parkinson_Disease_run3.md,1.0,530,1980,2510,44.51572132110596,0.06205,1,1,1,1,1,1
P09,DQ593354,Parkinson Disease,1,reports/P09_DQ593354_Parkinson_Disease_run1.md,1.0,530,1792,2322,38.97887849807739,0.05641,1,1,1,1,1,1
P09,DQ593354,Parkinson Disease,2,reports/P09_DQ593354_Parkinson_Disease_run2.md,1.0,530,1806,2336,39.01113748550415,0.05683,1,1,1,1,1,1
